GEO_ID,NAME,B25014_001E,B25014_001M,B25014_002E,B25014_002M,B25014_003E,B25014_003M,B25014_004E,B25014_004M,B25014_005E,B25014_005M,B25014_006E,B25014_006M,B25014_007E,B25014_007M,B25014_008E,B25014_008M,B25014_009E,B25014_009M,B25014_010E,B25014_010M,B25014_011E,B25014_011M,B25014_012E,B25014_012M,B25014_013E,B25014_013M
0500000US13001,"Appling County, Georgia",6682,278,4881,300,3732,281,1100,199,37,38,12,14,0,21,1801,259,979,179,668,147,115,83,17,19,22,29
0500000US13235,"Pulaski County, Georgia",3817,399,2401,261,2039,292,344,115,6,11,0,21,12,19,1416,318,772,286,626,203,18,25,0,21,0,21
0500000US13281,"Towns County, Georgia",4777,257,3860,187,3247,197,582,136,22,21,9,14,0,21,917,196,533,133,371,126,13,20,0,21,0,21
0500000US13287,"Turner County, Georgia",3023,220,2041,212,1621,175,384,147,36,37,0,19,0,19,982,193,467,148,419,160,96,99,0,19,0,19
0500000US16077,"Power County, Idaho",2581,162,1779,238,1357,192,400,124,11,20,11,16,0,17,802,195,474,189,260,118,68,54,0,17,0,17
0500000US16071,"Oneida County, Idaho",1585,109,1279,103,948,104,279,85,47,43,5,8,0,12,306,87,220,78,86,40,0,12,0,12,0,12
0500000US16063,"Lincoln County, Idaho",1687,80,1166,99,843,80,285,66,26,17,8,9,4,7,521,87,277,68,186,48,44,23,14,22,0,17
0500000US16041,"Franklin County, Idaho",4294,150,3470,203,2465,214,900,203,87,59,18,25,0,19,824,171,435,126,333,119,56,30,0,19,0,19
0500000US16053,"Jerome County, Idaho",7828,158,5003,235,3492,212,1389,210,107,68,11,11,4,6,2825,242,1344,209,1131,211,201,106,144,100,5,8
0500000US16067,"Minidoka County, Idaho",7279,202,5218,230,3955,197,1206,204,57,44,0,22,0,22,2061,250,965,189,895,162,201,112,0,22,0,22
0500000US16013,"Blaine County, Idaho",8190,442,5709,323,4666,346,1016,173,27,24,0,22,0,22,2481,343,1584,298,803,221,24,27,8,13,62,91
0500000US16021,"Boundary County, Idaho",4605,224,3456,263,2681,262,686,169,81,57,7,13,1,4,1149,228,754,193,351,125,37,42,5,7,2,15
0500000US16047,"Gooding County, Idaho",5419,189,3699,241,2859,241,683,145,124,76,33,37,0,19,1720,248,866,194,751,174,94,81,9,13,0,19
0500000US16007,"Bear Lake County, Idaho",2350,151,1803,135,1411,107,368,67,24,18,0,17,0,17,547,89,336,67,186,56,21,18,4,5,0,17
0500000US16019,"Bonneville County, Idaho",39000,434,27291,618,21359,661,5499,435,297,138,130,121,6,11,11709,573,6850,549,4167,428,594,234,85,61,13,20
0500000US16035,"Clearwater County, Idaho",3707,164,2826,135,2459,122,350,63,6,6,11,12,0,17,881,114,582,105,248,68,18,15,33,21,0,17
0500000US16059,"Lemhi County, Idaho",3549,190,2677,197,2286,153,324,113,40,33,24,26,3,5,872,162,597,143,218,78,57,44,0,17,0,17
0500000US16017,"Bonner County, Idaho",17584,489,13077,476,10585,442,2342,317,104,49,27,34,19,22,4507,424,2735,331,1565,257,131,85,66,62,10,13
0500000US16037,"Custer County, Idaho",1761,149,1317,134,1170,147,147,72,0,12,0,12,0,12,444,112,313,107,104,45,22,20,5,8,0,12
0500000US16065,"Madison County, Idaho",10625,350,4925,284,3548,277,1161,169,216,114,0,25,0,25,5700,372,2149,330,2899,325,383,134,254,165,15,16
0500000US16081,"Teton County, Idaho",3736,286,2763,213,1885,217,852,169,26,27,0,19,0,19,973,239,644,235,276,110,22,26,31,31,0,19
0500000US15003,"Honolulu County, Hawaii",311525,1593,173697,1829,103820,1565,57847,1248,8194,501,2836,345,1000,143,137828,1712,58240,1270,62291,1530,9775,690,5707,582,1815,266
0500000US17183,"Vermilion County, Illinois",31180,383,21563,476,17305,468,3994,285,230,96,24,29,10,14,9617,507,6561,466,2819,302,191,87,46,44,0,26
0500000US17023,"Clark County, Illinois",6774,175,5007,197,4120,192,841,146,15,20,31,30,0,17,1767,204,1121,179,586,144,41,43,19,29,0,17
0500000US17049,"Effingham County, Illinois",13555,258,10526,273,8227,276,2154,208,120,47,1,3,24,27,3029,266,1974,241,934,173,15,17,54,52,52,76
0500000US17065,"Hamilton County, Illinois",3376,155,2721,183,2200,146,508,119,13,24,0,15,0,15,655,131,485,104,159,69,11,13,0,15,0,15
0500000US17087,"Johnson County, Illinois",4342,172,3653,151,3007,157,607,106,35,25,4,6,0,17,689,113,497,89,178,65,5,8,0,17,9,14
0500000US17105,"Livingston County, Illinois",14320,253,10320,296,8428,305,1821,237,61,40,10,12,0,23,4000,281,2562,233,1299,192,97,50,42,52,0,23
0500000US17179,"Tazewell County, Illinois",54613,528,41756,760,33868,726,7568,451,271,130,25,24,24,31,12857,751,8686,592,3817,479,275,150,52,50,27,36
0500000US17187,"Warren County, Illinois",6690,218,5053,266,4047,234,874,152,108,57,3,5,21,34,1637,209,975,165,541,137,53,42,68,53,0,17
0500000US17119,"Madison County, Illinois",107413,1052,76007,1064,60385,1127,15105,666,367,118,126,57,24,25,31406,995,20839,859,9567,771,573,185,310,208,117,87
0500000US17131,"Mercer County, Illinois",6624,159,5157,164,4305,165,826,98,19,19,7,10,0,17,1467,168,975,145,478,115,3,4,2,3,9,16
0500000US17003,"Alexander County, Illinois",2323,138,1656,131,1379,105,257,80,20,21,0,15,0,15,667,106,420,89,224,73,16,15,7,10,0,15
0500000US17157,"Randolph County, Illinois",11873,251,8987,266,7410,261,1500,170,71,45,5,10,1,2,2886,244,1912,225,942,139,10,10,22,33,0,23
0500000US17115,"Macon County, Illinois",44113,532,30676,563,25544,594,4923,399,161,64,29,22,19,18,13437,538,9341,474,3817,381,220,99,55,44,4,13
0500000US17191,"Wayne County, Illinois",7075,226,5400,226,4401,196,925,127,74,43,0,17,0,17,1675,183,1185,157,422,107,68,55,0,17,0,17
0500000US17055,"Franklin County, Illinois",16135,328,11910,288,9683,269,2058,201,142,62,27,21,0,23,4225,270,2902,293,1250,171,65,39,8,13,0,23
0500000US17109,"McDonough County, Illinois",11292,390,7535,315,6408,324,999,147,75,53,41,29,12,22,3757,363,2949,339,760,187,31,35,0,23,17,24
0500000US17139,"Moultrie County, Illinois",5910,128,4586,178,3504,219,914,157,168,67,0,17,0,17,1324,165,856,132,442,106,26,21,0,17,0,17
0500000US17151,"Pope County, Illinois",1644,122,1399,113,1209,126,175,54,15,19,0,11,0,11,245,60,160,43,85,45,0,11,0,11,0,11
0500000US17173,"Shelby County, Illinois",9203,204,7384,245,6033,248,1324,164,27,20,0,20,0,20,1819,196,1114,169,591,172,39,33,65,82,10,15
0500000US17019,"Champaign County, Illinois",82499,673,44247,735,36439,739,7338,510,330,124,100,63,40,55,38252,867,20860,840,13718,776,536,166,1909,349,1229,293
0500000US17053,"Ford County, Illinois",5779,148,4079,196,3422,172,643,125,6,6,8,12,0,17,1700,178,1191,148,475,150,16,22,18,28,0,17
0500000US17093,"Kendall County, Illinois",40407,417,33555,749,25943,1026,7191,790,360,183,0,26,61,89,6852,708,3268,602,3240,561,294,175,50,61,0,26
0500000US17121,"Marion County, Illinois",15913,253,11676,278,9221,263,2308,176,126,53,21,20,0,23,4237,268,2877,244,1235,174,95,42,12,14,18,24
0500000US17125,"Mason County, Illinois",6027,151,4701,166,3934,171,711,104,46,32,5,7,5,8,1326,151,904,132,420,89,2,3,0,17,0,17
0500000US18149,"Starke County, Indiana",8735,274,6901,283,5162,278,1650,191,55,46,20,22,14,23,1834,223,1219,219,542,117,66,57,0,21,7,11
