County,State,GEO_ID,Total Population,Minority Population,ratio_income_poverty (above 200% FPL),Total Bachelors Degree,Est Speak English Less than Well,Per Capita Income,Est Civilians Insured,Est Percent Civilians Insured,Percent Households without Vehicle,Household Level - More People than Rooms (%)
Camp County,Texas,0500000US48063,12813,3511,6906.0,1096,878,20898.0,10639,83.4,0.06670929241261722,0.021099744245524295
Hansford County,Texas,0500000US48195,5547,492,2945.0,349,1098,20127.0,4386,80.3,0.02587601078167116,0.03827493261455526
Guadalupe County,Texas,0500000US48187,155137,43101,114160.0,17930,6310,30817.0,135375,88.5,0.02775528649707195,0.014856798538799029
Clay County,Texas,0500000US48077,10387,513,6844.0,1005,222,27678.0,8885,86.1,0.019777503090234856,0.0173053152039555
Hill County,Texas,0500000US48217,35399,4733,21496.0,2853,1854,24745.0,29129,83.8,0.0460490249823792,0.032970475370036806
Nacogdoches County,Texas,0500000US48347,65558,15807,32428.0,5784,3379,22580.0,52520,81.1,0.07220548862115127,0.014056224899598393
Parmer County,Texas,0500000US48369,9852,1624,5778.0,831,1574,23686.0,7773,79.5,0.04822182037371911,0.05575647980711272
Presidio County,Texas,0500000US48377,7123,380,2501.0,609,2568,16066.0,4988,70.0,0.09554625047582795,0.03121431290445375
Val Verde County,Texas,0500000US48465,49027,3692,25513.0,3768,9173,20881.0,37714,81.4,0.06610927474236827,0.04148032925011342
Ector County,Texas,0500000US48135,158342,30485,107922.0,10624,16562,28700.0,123453,78.5,0.042576125033683646,0.024810409208145666
Glasscock County,Texas,0500000US48173,1430,421,900.0,140,268,30902.0,1140,79.7,0.0,0.0
Grimes County,Texas,0500000US48185,27630,5989,14209.0,1734,1303,23513.0,20774,86.3,0.053906516547253494,0.019561014443307177
Collin County,Texas,0500000US48085,944350,284708,779482.0,203802,54934,43439.0,843739,89.6,0.027014873119733444,0.007252456720670256
Angelina County,Texas,0500000US48005,87607,18235,48615.0,6455,5269,22322.0,69027,80.8,0.05363349900919338,0.02641068122015398
Cottle County,Texas,0500000US48101,1623,438,665.0,105,43,20108.0,1402,86.4,0.10495626822157435,0.018950437317784258
Hays County,Texas,0500000US48209,204150,24571,138663.0,29871,12257,30715.0,174038,86.0,0.031221342814012218,0.014898209675371397
Rockwall County,Texas,0500000US48397,93642,13618,76567.0,15909,3528,39295.0,82446,88.8,0.026667509241998167,0.010869221776359442
Lipscomb County,Texas,0500000US48295,3469,516,2310.0,330,285,28491.0,2773,81.0,0.02308917197452229,0.021496815286624203
Matagorda County,Texas,0500000US48321,36743,9961,21428.0,2881,3229,24376.0,29201,80.4,0.06042827808741567,0.02383396890583749
Pecos County,Texas,0500000US48371,15797,2719,8264.0,624,1923,20688.0,10913,79.7,0.041255211762124204,0.031380294053105114
Rusk County,Texas,0500000US48401,53595,11447,30556.0,3602,2578,24842.0,39359,80.7,0.0477728285077951,0.013363028953229399
Throckmorton County,Texas,0500000US48447,1567,40,1056.0,165,8,28895.0,1285,82.6,0.029871977240398292,0.0
Walker County,Texas,0500000US48471,71539,19202,30966.0,6674,3283,17789.0,49198,86.6,0.04492512479201331,0.012479201331114808
Wood County,Texas,0500000US48499,43815,4570,26425.0,3715,884,27841.0,37006,86.3,0.03913858810719255,0.014941624826084327
Aransas County,Texas,0500000US48007,24763,2659,14039.0,2391,912,30939.0,19385,79.5,0.04601357082273113,0.029474130619168787
Childress County,Texas,0500000US48075,7226,1184,3338.0,682,617,20234.0,4810,82.9,0.06711409395973154,0.0022371364653243847
Coke County,Texas,0500000US48081,3275,347,2017.0,263,108,24768.0,2765,87.0,0.0383426097711812,0.011131725417439703
Coryell County,Texas,0500000US48099,75389,21121,36919.0,5339,1825,21507.0,52188,90.1,0.041946759881688625,0.01232410146096621
Hemphill County,Texas,0500000US48211,4061,295,2604.0,397,457,26781.0,2938,73.1,0.030234315948601664,0.016628873771730914
Moore County,Texas,0500000US48341,21801,5888,12995.0,1208,3494,21650.0,18038,83.4,0.04557802595834591,0.03501358285541805
Navarro County,Texas,0500000US48349,48583,12159,27125.0,3270,4823,23422.0,39507,82.6,0.06937977812266483,0.022877507616255677
San Augustine County,Texas,0500000US48405,8327,2208,4535.0,489,114,23261.0,6848,84.6,0.058700834326579264,0.02264600715137068
Shackelford County,Texas,0500000US48417,3311,130,2145.0,385,76,23855.0,2862,87.1,0.03970826580226904,0.03565640194489465
Starr County,Texas,0500000US48427,63894,3143,22955.0,2569,19107,14122.0,42224,66.6,0.09748737529252371,0.08110604754280083
Upton County,Texas,0500000US48461,3634,1899,2291.0,146,359,26183.0,3115,87.1,0.059770114942528735,0.004597701149425287
Bastrop County,Texas,0500000US48021,82577,23896,54350.0,7622,6935,26540.0,67320,83.7,0.04462418623002565,0.030222923653580588
Hall County,Texas,0500000US48191,3074,585,1093.0,204,257,22846.0,2244,74.4,0.08147578785549578,0.024596464258262875
Franklin County,Texas,0500000US48159,10679,1495,7464.0,1265,475,25602.0,8824,83.4,0.03152916447714135,0.014713610089332634
Frio County,Texas,0500000US48163,19394,4889,8321.0,656,2599,18288.0,12265,78.0,0.0689878892733564,0.028546712802768166
Lampasas County,Texas,0500000US48281,20640,2413,14392.0,1933,339,28158.0,17253,85.2,0.05246833807185319,0.013440165417420522
Mason County,Texas,0500000US48319,4161,529,2506.0,427,279,25602.0,3306,79.7,0.03179364127174565,0.005398920215956809
Dickens County,Texas,0500000US48125,2216,193,1171.0,160,49,23452.0,1698,81.2,0.07482185273159145,0.032066508313539195
Tarrant County,Texas,0500000US48439,2019977,647828,1369672.0,271552,167902,32092.0,1677121,83.7,0.04401319036616857,0.016427871444001745
Anderson County,Texas,0500000US48001,57863,15314,24786.0,3189,2254,16868.0,38116,85.9,0.052494076189318915,0.02478886931162282
Jackson County,Texas,0500000US48239,14820,2050,9722.0,1176,893,26329.0,12288,84.2,0.054802367767806,0.025014321176245944
Milam County,Texas,0500000US48331,24664,3815,13951.0,1695,902,24015.0,20935,86.6,0.05020786696514231,0.03229932842980492
Comanche County,Texas,0500000US48093,13495,754,8266.0,1346,822,25127.0,10885,81.9,0.05152091254752852,0.02699619771863118
Brooks County,Texas,0500000US48047,7180,719,2566.0,479,701,13800.0,5185,78.1,0.11500974658869395,0.029239766081871343
Cass County,Iowa,0500000US19029,13191,380,8477.0,1310,113,27853.0,12313,95.2,0.05885311871227364,0.002850435949027498
Cherokee County,Iowa,0500000US19035,11468,597,7722.0,1244,74,32667.0,10636,95.7,0.05789769533445756,0.0013115982761851227
Crawford County,Iowa,0500000US19047,17132,2433,11152.0,1045,2072,28700.0,15565,91.9,0.06822066822066822,0.02470862470862471
Des Moines County,Iowa,0500000US19057,39600,3842,25853.0,3897,184,28234.0,37044,94.7,0.07280285035629454,0.0049881235154394295
Fayette County,Iowa,0500000US19065,19929,912,12982.0,1902,109,28069.0,18521,94.5,0.05147324113048707,0.0052916416115454
Harrison County,Iowa,0500000US19085,14143,372,10092.0,1363,23,30209.0,13186,94.9,0.05184331797235023,0.006089532587228439
Kossuth County,Iowa,0500000US19109,15075,454,10611.0,1591,58,29963.0,14041,94.7,0.0411041104110411,0.006150615061506151
Mills County,Iowa,0500000US19129,14957,513,11262.0,1746,69,32867.0,14084,95.4,0.03364954358331842,0.010918202971183103
Monona County,Iowa,0500000US19133,8796,284,5524.0,760,21,27862.0,8065,94.1,0.048605970885763634,0.008635578583765112
Muscatine County,Iowa,0500000US19139,42950,3687,29943.0,4358,1561,28137.0,40814,96.2,0.04958877600387034,0.009313014029995162
Osceola County,Iowa,0500000US19143,6115,331,3967.0,564,166,28843.0,5699,94.6,0.04672539256989659,0.013021830716200689
Polk County,Iowa,0500000US19153,474274,74295,339902.0,77519,15898,34474.0,445536,94.9,0.05892692908415101,0.00942025436319407
