GEO_ID,NAME,B25044_001E,B25044_001M,B25044_002E,B25044_002M,B25044_003E,B25044_003M,B25044_004E,B25044_004M,B25044_005E,B25044_005M,B25044_006E,B25044_006M,B25044_007E,B25044_007M,B25044_008E,B25044_008M,B25044_009E,B25044_009M,B25044_010E,B25044_010M,B25044_011E,B25044_011M,B25044_012E,B25044_012M,B25044_013E,B25044_013M,B25044_014E,B25044_014M,B25044_015E,B25044_015M
0500000US06113,"Yolo County, California",73510,592,38013,697,682,136,9058,567,16569,708,8144,494,2553,318,1007,181,35497,888,4800,444,14286,759,10393,692,4540,464,1160,205,318,116
0500000US06023,"Humboldt County, California",54267,676,30853,642,1018,199,7658,448,13394,599,6157,460,1746,295,880,185,23414,897,3115,412,10854,674,6486,484,2161,348,591,211,207,113
0500000US06003,"Alpine County, California",299,67,251,57,14,11,74,31,71,27,39,18,44,20,9,8,48,26,4,6,18,12,21,16,1,2,4,6,0,12
0500000US06045,"Mendocino County, California",34090,621,20173,626,610,169,5069,421,8184,477,4216,470,1534,233,560,132,13917,617,1528,298,5690,484,4722,491,1475,256,360,140,142,88
0500000US06087,"Santa Cruz County, California",95756,961,56873,979,1428,232,12836,735,21744,915,12537,720,5426,410,2902,352,38883,1111,3806,488,15325,805,13317,922,4233,489,1395,287,807,237
0500000US06037,"Los Angeles County, California",3306109,5533,1514629,9373,44151,1193,335827,3720,614659,4946,318184,3728,135040,2402,66768,1655,1791480,6379,254213,3590,786028,5751,552606,4449,144140,2044,40041,1434,14452,767
0500000US06065,"Riverside County, California",718349,2722,472401,3912,10447,655,110519,2189,185963,2948,102059,2158,42395,1343,21018,1095,245948,2861,20266,863,95954,2052,87584,1692,28413,1013,9907,738,3824,452
0500000US06085,"Santa Clara County, California",635525,1810,360658,2737,7671,497,66295,1548,158738,2264,81058,1808,31190,957,15706,735,274867,2527,24974,967,107482,1891,99470,1942,27453,945,10672,742,4816,496
0500000US06041,"Marin County, California",105258,753,67200,879,1280,227,16830,683,30589,942,13042,597,3864,367,1595,260,38058,924,3850,405,17564,789,12127,717,3511,475,692,200,314,142
0500000US06093,"Siskiyou County, California",19257,305,12633,379,390,117,2928,267,4833,379,2660,242,1264,227,558,121,6624,384,960,201,2501,267,2235,308,646,129,261,96,21,17
0500000US06089,"Shasta County, California",70473,580,44721,754,1349,189,10778,685,18299,764,9485,554,3580,353,1230,190,25752,798,3439,293,11619,671,7871,606,2114,339,538,164,171,74
0500000US06015,"Del Norte County, California",9799,314,6115,324,289,108,1894,246,2070,281,1308,242,445,168,109,96,3684,414,653,170,1704,301,1096,250,199,102,17,24,15,16
0500000US06079,"San Luis Obispo County, California",105317,1020,63986,1081,1611,231,13500,732,27149,886,13690,680,5291,507,2745,405,41331,1122,2946,456,15508,932,15283,989,5255,565,1596,287,743,222
0500000US06021,"Glenn County, California",10017,225,5981,341,181,73,1269,225,2399,301,1302,241,571,146,259,79,4036,356,303,126,1682,289,1353,263,570,192,100,70,28,27
0500000US06007,"Butte County, California",86797,860,51358,1011,1673,256,13552,836,20487,838,10229,567,3816,481,1601,294,35439,1020,4559,423,13671,823,11795,713,3912,430,1029,216,473,160
0500000US06063,"Plumas County, California",8047,337,5868,320,194,86,1444,239,2166,282,1413,210,380,130,271,132,2179,261,259,103,1063,214,661,194,143,79,2,6,51,42
0500000US06029,"Kern County, California",267913,1297,155395,1986,3820,444,34638,1073,66638,1807,33096,1203,12396,868,4807,485,112518,2100,14461,931,47979,1614,36089,1592,10852,781,2241,407,896,244
0500000US06059,"Orange County, California",1032373,2799,592269,4165,12554,753,123115,2199,252365,3215,126895,2551,54054,1385,23286,933,440104,3493,32826,1317,158321,2620,173890,2652,52145,1674,16827,997,6095,513
0500000US06009,"Calaveras County, California",17417,434,13526,487,201,88,2870,358,5245,434,3159,351,1374,249,677,163,3891,416,230,97,1245,226,1663,351,512,216,170,103,71,52
0500000US06101,"Sutter County, California",32360,312,18560,563,523,133,4254,361,7102,411,4143,381,1758,211,780,209,13800,535,1411,226,5331,388,4817,443,1526,273,465,152,250,116
0500000US06081,"San Mateo County, California",261969,1067,156864,1532,3620,338,33640,1019,65837,1351,33401,1191,13983,731,6383,507,105105,1268,10418,708,43134,1232,36464,1188,9816,658,4130,462,1143,263
0500000US06109,"Tuolumne County, California",22427,607,15656,546,505,160,3384,396,6026,497,3792,380,1216,263,733,169,6771,605,550,176,3049,446,2424,390,467,150,192,96,89,85
0500000US06077,"San Joaquin County, California",226727,913,126097,1759,3107,338,25869,1079,50056,1383,29970,1102,11199,760,5896,591,100630,1634,11343,714,37028,1024,33544,1197,13336,876,4281,562,1098,243
0500000US06005,"Amador County, California",14090,432,10798,411,394,118,2150,281,4171,409,2575,333,907,187,601,205,3292,369,379,157,1442,285,1106,206,229,97,113,80,23,34
0500000US08095,"Phillips County, Colorado",1668,125,1173,110,16,11,218,60,518,97,244,68,105,44,72,31,495,109,54,36,218,79,165,62,58,37,0,12,0,12
0500000US08007,"Archuleta County, Colorado",5670,301,4228,260,53,46,906,192,1922,208,946,189,229,76,172,80,1442,236,12,21,665,145,568,202,149,69,45,35,3,5
0500000US08031,"Denver County, Colorado",294358,1073,146083,1999,3838,388,48995,1336,63742,1410,21056,911,6137,541,2315,278,148275,1921,25497,994,69974,1633,42066,1349,8313,617,1844,287,581,199
0500000US08061,"Kiowa County, Colorado",593,57,443,51,16,16,113,31,138,35,101,31,39,14,36,21,150,43,13,7,55,27,64,29,14,12,0,12,4,5
0500000US08055,"Huerfano County, Colorado",3282,159,2352,179,26,24,489,109,889,157,660,158,203,90,85,54,930,170,259,100,491,123,82,44,65,49,33,31,0,17
0500000US08009,"Baca County, Colorado",1642,79,1178,82,47,26,229,55,420,60,268,48,127,45,87,30,464,72,53,24,192,51,172,51,41,20,5,5,1,2
0500000US08015,"Chaffee County, Colorado",7958,415,6103,395,170,110,1113,206,2867,332,1310,208,426,116,217,98,1855,264,315,135,667,199,678,193,130,75,65,55,0,19
0500000US08047,"Gilpin County, Colorado",2653,217,2147,201,68,70,374,145,1036,223,288,95,315,123,66,55,506,133,58,53,228,105,208,95,4,6,8,16,0,17
0500000US08063,"Kit Carson County, Colorado",2977,212,2049,172,38,41,456,99,754,134,453,98,240,68,108,34,928,146,90,54,345,109,358,113,101,58,8,7,26,29
0500000US08045,"Garfield County, Colorado",21138,398,14136,481,143,86,2529,344,5797,492,3243,362,1599,314,825,251,7002,470,456,142,2409,336,2944,376,751,185,324,140,118,82
0500000US08051,"Gunnison County, Colorado",6643,303,4058,242,22,20,917,193,1903,303,781,192,329,126,106,67,2585,315,175,107,973,220,997,228,307,121,110,112,23,37
0500000US08059,"Jefferson County, Colorado",230153,911,162035,1566,2475,305,34163,1008,71788,1237,35532,1019,12789,604,5288,408,68118,1476,6767,494,29460,926,23044,1052,6177,496,1930,336,740,202
0500000US08079,"Mineral County, Colorado",375,51,333,50,2,2,91,31,155,40,65,25,10,7,10,7,42,22,4,7,7,11,28,17,3,4,0,12,0,12
0500000US08091,"Ouray County, Colorado",2194,115,1500,133,20,18,340,81,750,114,277,71,84,37,29,24,694,118,36,31,277,87,260,73,74,43,38,39,9,15
0500000US08103,"Rio Blanco County, Colorado",2403,151,1681,143,36,32,312,87,547,109,398,109,261,81,127,61,722,122,26,20,319,89,253,72,62,43,40,35,22,24
0500000US08115,"Sedgwick County, Colorado",1017,68,728,76,17,10,192,40,237,42,192,56,44,16,46,22,289,58,39,19,144,42,68,27,30,14,3,4,5,6
0500000US08021,"Conejos County, Colorado",3068,124,2445,107,100,41,543,84,836,96,559,87,246,61,161,50,623,97,95,47,274,66,124,52,77,41,41,29,12,13
0500000US08023,"Costilla County, Colorado",1687,117,1189,93,20,15,348,79,441,83,270,67,73,32,37,26,498,91,144,59,192,74,85,43,60,36,9,13,8,13
0500000US08001,"Adams County, Colorado",164353,655,107175,1333,2254,314,21764,869,43390,1236,24453,944,10260,709,5054,376,57178,1320,5540,500,22775,1062,19481,890,6741,603,1775,292,866,259
0500000US08037,"Eagle County, Colorado",17750,582,12531,553,109,70,2466,346,5700,516,3061,347,820,202,375,176,5219,549,195,147,1765,317,2256,350,745,214,136,87,122,124
0500000US08065,"Lake County, Colorado",3353,245,2085,248,49,58,511,178,627,180,492,133,318,130,88,65,1268,288,90,77,641,245,319,169,218,150,0,17,0,17
0500000US08081,"Moffat County, Colorado",5210,189,3544,224,40,33,540,126,1463,196,1091,191,255,84,155,69,1666,220,222,95,838,204,374,115,138,76,61,58,33,38
0500000US08097,"Pitkin County, Colorado",7018,399,4528,356,110,70,1061,216,2520,326,600,164,178,96,59,49,2490,380,279,126,1188,337,801,228,153,118,52,47,17,21
0500000US08017,"Cheyenne County, Colorado",742,78,550,74,3,4,130,46,160,37,165,49,53,21,39,20,192,47,13,14,97,32,44,21,28,22,0,12,10,11
0500000US08025,"Crowley County, Colorado",1194,148,865,106,30,20,205,47,348,76,147,44,81,33,54,33,329,101,34,21,157,52,121,74,15,15,2,4,0,17
0500000US08033,"Dolores County, Colorado",740,69,600,73,5,5,165,56,248,63,125,58,18,15,39,29,140,34,7,6,45,23,61,28,11,13,0,12,16,13
0500000US08057,"Jackson County, Colorado",575,56,410,57,3,5,56,29,165,47,89,34,50,28,47,27,165,50,6,9,57,33,62,36,28,24,9,14,3,4
0500000US08069,"Larimer County, Colorado",133527,725,86247,1173,1443,249,16677,744,39011,1151,18910,860,6967,594,3239,386,47280,1222,4043,397,18385,1009,16700,898,6307,660,1389,278,456,173
0500000US08083,"Montezuma County, Colorado",10615,205,7546,285,73,35,1747,247,3041,252,1765,307,666,164,254,92,3069,242,182,73,1574,225,1012,171,233,112,64,44,4,8
0500000US08113,"San Miguel County, Colorado",3441,168,2081,126,0,17,606,117,954,113,355,84,113,42,53,30,1360,148,128,44,755,104,410,94,48,31,19,21,0,17
0500000US08013,"Boulder County, Colorado",125894,675,78093,1007,1202,202,19205,761,35927,946,15677,692,4434,340,1648,236,47801,1046,5505,536,20563,867,15652,887,4324,471,1335,264,422,123
0500000US08071,"Las Animas County, Colorado",6477,242,4466,236,132,64,1158,160,1805,226,777,114,356,71,238,71,2011,206,486,164,780,152,498,117,160,57,30,22,57,49
0500000US08125,"Yuma County, Colorado",4051,140,2561,182,21,13,586,162,901,161,605,141,340,113,108,59,1490,202,160,79,679,152,399,104,146,85,106,58,0,19
0500000US08107,"Routt County, Colorado",9552,425,6729,290,142,80,1626,256,3119,294,1247,197,347,95,248,80,2823,362,143,90,927,193,1310,287,360,123,47,45,36,30
0500000US08117,"Summit County, Colorado",9707,580,6416,546,29,30,1662,341,3119,468,1240,257,216,101,150,90,3291,555,124,96,1285,361,1236,327,490,203,27,40,129,97
0500000US08019,"Clear Creek County, Colorado",4640,219,3548,210,12,17,658,128,1637,267,693,151,329,136,219,94,1092,173,104,55,489,107,257,111,175,95,18,19,49,53
0500000US08029,"Delta County, Colorado",11882,342,8441,366,200,92,1663,261,3221,270,2097,254,913,178,347,99,3441,326,395,146,1586,258,833,162,419,114,35,36,173,116
0500000US08101,"Pueblo County, Colorado",63762,667,41006,874,1110,180,10292,545,16155,686,8640,527,3152,303,1657,279,22756,803,3780,369,10479,690,6038,546,1740,264,562,173,157,78
0500000US08087,"Morgan County, Colorado",10785,212,6935,319,63,33,1341,213,2866,303,1628,219,721,126,316,94,3850,329,427,163,1789,299,1158,202,346,122,94,50,36,35
0500000US08093,"Park County, Colorado",7119,357,5961,332,99,81,1018,234,2378,316,1649,242,549,138,268,112,1158,242,33,29,500,169,350,138,212,121,63,42,0,19
0500000US08077,"Mesa County, Colorado",61033,589,41030,914,730,182,10926,781,15447,832,9443,647,3088,339,1396,231,20003,922,2130,314,9259,651,6415,555,1532,262,393,134,274,158
0500000US08099,"Prowers County, Colorado",4963,232,3167,225,68,43,533,116,1346,212,811,140,243,78,166,65,1796,211,212,94,953,191,416,109,131,65,71,49,13,16
0500000US08041,"El Paso County, Colorado",253379,1158,161564,1651,2202,244,34394,1189,73349,1483,35025,1147,11580,609,5014,439,91815,1336,8693,690,40882,1292,32833,1167,7057,561,1815,295,535,170
0500000US08121,"Washington County, Colorado",2030,152,1380,95,49,17,234,52,514,67,303,50,193,40,87,26,650,110,48,29,247,58,199,48,105,35,21,10,30,24
0500000US08005,"Arapahoe County, Colorado",237559,1050,149832,1462,2423,313,34157,894,69177,1316,29729,956,10610,561,3736,325,87727,1616,9376,583,40061,1240,28707,1018,6865,584,2028,280,690,176
0500000US08014,"Broomfield County, Colorado",26721,255,17722,360,280,97,3885,368,8548,375,3479,324,1099,213,431,127,8999,410,541,114,3845,353,3528,371,791,186,257,122,37,33
0500000US09009,"New Haven County, Connecticut",329857,1775,204295,1887,5927,530,55085,1345,88369,1686,37566,1287,12444,719,4904,487,125562,1974,32492,1261,60963,1615,26273,1086,4881,680,751,192,202,96
0500000US09013,"Tolland County, Connecticut",55232,657,39798,616,614,163,8162,526,17880,817,8747,492,3126,347,1269,214,15434,739,1870,349,7652,629,4573,536,951,218,294,143,94,88
0500000US09003,"Hartford County, Connecticut",349064,1488,225112,1726,6158,496,59639,1456,102065,1684,40324,1109,12495,690,4431,432,123952,1709,30725,1053,60646,1535,26703,1239,4573,572,915,232,390,136
0500000US09015,"Windham County, Connecticut",44449,585,30960,680,830,201,6732,613,13465,668,6771,532,2080,269,1082,189,13489,663,2330,358,6691,478,3407,402,770,254,229,133,62,46
0500000US09007,"Middlesex County, Connecticut",66892,735,49262,844,1072,233,11162,644,21894,786,10140,569,3552,324,1442,276,17630,800,2565,315,8943,663,4557,432,1088,241,299,140,178,92
0500000US10003,"New Castle County, Delaware",203855,1043,138662,1287,3304,374,38810,1091,63333,1367,23568,957,7207,532,2440,320,65193,1369,10818,707,33571,1120,16388,911,3129,417,1127,230,160,67
0500000US10005,"Sussex County, Delaware",89365,997,71092,954,1612,224,19576,854,32410,898,11783,645,4174,389,1537,247,18273,676,1758,287,8534,548,5906,488,1522,255,428,115,125,78
0500000US11001,"District of Columbia, District of Columbia",281322,1459,117571,1429,17646,855,60939,1276,30469,1046,6481,445,1471,257,565,130,163751,1680,81991,1639,64412,1553,15349,852,1491,240,338,120,170,79
0500000US12091,"Okaloosa County, Florida",77403,895,48766,870,1087,229,12386,744,22404,824,9598,709,2503,370,788,199,28637,870,2836,373,13084,805,10273,700,1887,316,417,171,140,84
0500000US12123,"Taylor County, Florida",7356,397,5995,387,197,94,1747,332,2890,354,876,203,216,124,69,53,1361,255,308,144,729,211,254,142,34,36,36,51,0,25
0500000US12133,"Washington County, Florida",8484,304,6571,321,229,94,1865,208,2963,270,1125,164,273,79,116,56,1913,229,241,105,1030,195,414,104,170,76,44,45,14,13
0500000US12031,"Duval County, Florida",354387,1851,200888,2111,6150,570,61963,1564,90511,1974,31145,1120,8884,651,2235,290,153499,2388,22690,1049,75210,2285,45395,1563,8076,706,1575,311,553,213
0500000US12007,"Bradford County, Florida",8993,387,6168,415,347,138,1563,278,2660,370,1120,221,339,139,139,108,2825,306,435,156,1350,268,868,192,128,88,44,42,0,25
0500000US12009,"Brevard County, Florida",228888,1973,166825,1983,4350,492,59793,1586,71579,1781,23148,1005,6149,524,1806,273,62063,1692,7717,710,32041,1330,18085,986,3539,439,394,139,287,146
